"","iso3n","eid","ISO3","eid_cat"
"1",0,0,NA,"Low"
"2",4,0.00208154741943645,"AFG","High"
"3",8,0.000188386733498191,"ALB","Low"
"4",12,0.00230466308749477,"DZA","High"
"5",24,0.0016486994034608,"AGO","High"
"6",31,0.000686435134412022,"AZE","Medium"
"7",32,0.00338612916026282,"ARG","High"
"8",36,0.00139914029842703,"AUS","High"
"9",40,0.000710083117155591,"AUT","Medium"
"10",44,4.81223014503485e-06,"BHS","Low"
"11",50,0.0081378793111071,"BGD","High"
"12",51,0.000206667187740095,"ARM","Low"
"13",56,0.000499935675179586,"BEL","Medium"
"14",64,0.000112324953079224,"BTN","Low"
"15",68,0.000920648509932676,"BOL","Medium"
"16",70,0.000289752333628712,"BIH","Low"
"17",72,0.000247123088325196,"BWA","Low"
"18",76,0.0168725579343914,"BRA","High"
"19",84,1.87560526683228e-05,"BLZ","Low"
"20",90,1.79086700882181e-05,"SLB","Low"
"21",96,1.07147243397776e-05,"BRN","Low"
"22",100,0.000690390348609071,"BGR","Medium"
"23",104,0.00566930265549104,"MMR","High"
"24",108,0.000483189156511799,"BDI","Medium"
"25",112,0.000734156456928758,"BLR","Medium"
"26",116,0.00120496870840725,"KHM","Medium"
"27",120,0.00186162152704128,"CMR","High"
"28",124,0.00205543067317654,"CAN","High"
"29",140,0.000469487555619708,"CAF","Medium"
"30",144,0.00156099593732506,"LKA","High"
"31",148,0.000910212876704009,"TCD","Medium"
"32",152,0.00120712070783391,"CHL","Medium"
"33",156,0.0720826699442512,"CHN","High"
"34",158,0.000370956147889956,"TWN","Medium"
"35",170,0.00419804004067004,"COL","High"
"36",178,0.000310098607144482,"COG","Low"
"37",180,0.00603001472154574,"COD","High"
"38",188,0.000278975651781366,"CRI","Low"
"39",191,0.000358222769136773,"HRV","Medium"
"40",192,0.000601598494540667,"CUB","Medium"
"41",203,0.000758687634515809,"CZE","Medium"
"42",204,0.000701629252944258,"BEN","Medium"
"43",208,0.00030531374977727,"DNK","Low"
"44",214,0.000913227093406022,"DOM","Medium"
"45",218,0.00125797172924536,"ECU","Medium"
"46",222,0.000485762706375681,"SLV","Medium"
"47",226,2.96050739052589e-05,"GNQ","Low"
"48",231,0.00572556349516162,"ETH","High"
"49",232,0.000310355963847542,"ERI","Low"
"50",233,4.89305384689942e-05,"EST","Low"
"51",238,3.5542932153021e-08,"FLK","Low"
"52",242,8.50143874231435e-06,"FJI","Low"
"53",246,0.000328502379012718,"FIN","Medium"
"54",250,0.00381203535255992,"FRA","High"
"55",260,0,"ATF","Low"
"56",262,2.0595475234586e-05,"DJI","Low"
"57",266,0.000134172409389066,"GAB","Low"
"58",268,0.000360530928446678,"GEO","Medium"
"59",270,0.000230096233281074,"GMB","Low"
"60",276,0.00492570467577025,"DEU","High"
"61",288,0.00198446372814942,"GHA","High"
"62",300,0.000547047040981852,"GRC","Medium"
"63",304,1.72351403722743e-06,"GRL","Low"
"64",320,0.00111004019436223,"GTM","Medium"
"65",324,0.000984793436145992,"GIN","Medium"
"66",328,7.62305731143442e-05,"GUY","Low"
"67",332,0.0006234546599444,"HTI","Medium"
"68",340,0.000567654987435162,"HND","Medium"
"69",348,0.000676609088259283,"HUN","Medium"
"70",352,1.19372697744424e-05,"ISL","Low"
"71",356,0.0663833444949261,"IND","High"
"72",360,0.0109823303759575,"IDN","High"
"73",364,0.00584984021462276,"IRN","High"
"74",368,0.00196467140767709,"IRQ","High"
"75",372,0.000223711145736161,"IRL","Low"
"76",376,0.000211103222682141,"ISR","Low"
"77",380,0.00317388101757388,"ITA","High"
"78",384,0.00188709486701555,"CIV","High"
"79",392,0.0065817511161157,"JPN","High"
"80",398,0.00123375171436457,"KAZ","Medium"
"81",400,0.000276497076015403,"JOR","Low"
"82",404,0.00295533604366938,"KEN","High"
"83",408,0.001297597451412,"PRK","Medium"
"84",410,0.00164664440120887,"KOR","High"
"85",414,6.75350675010122e-05,"KWT","Low"
"86",417,0.000708167820221206,"KGZ","Medium"
"87",418,0.00113636146124918,"LAO","Medium"
"88",422,0.000203081537620164,"LBN","Low"
"89",426,0.000126810133224353,"LSO","Low"
"90",428,0.000164032970587868,"LVA","Low"
"91",430,0.000312495523758116,"LBR","Medium"
"92",434,0.000392243393955383,"LBY","Medium"
"93",440,0.000242912445173715,"LTU","Low"
"94",450,0.00157924989389358,"MDG","High"
"95",454,0.00114493223918544,"MWI","Medium"
"96",458,0.0019720534300518,"MYS","High"
"97",466,0.0011653779738765,"MLI","Medium"
"98",478,0.000288637607813058,"MRT","Low"
"99",484,0.00802072146962018,"MEX","High"
"100",496,0.000245903269501468,"MNG","Low"
"101",498,0.000285183570667868,"MDA","Low"
"102",499,7.63077659939881e-05,"MNE","Low"
"103",504,0.00197893902839041,"MAR","High"
"104",508,0.00222890245618146,"MOZ","High"
"105",512,0.000196164164712798,"OMN","Low"
"106",516,0.000190974941744138,"NAM","Low"
"107",524,0.00305694387134281,"NPL","High"
"108",528,0.000839013118820731,"NLD","Medium"
"109",540,1.39345620482345e-05,"NCL","Low"
"110",548,6.50497753440504e-08,"VUT","Low"
"111",554,0.000103721651061539,"NZL","Low"
"112",558,0.000459825644156808,"NIC","Medium"
"113",562,0.00108620660939351,"NER","Medium"
"114",566,0.0105624892185006,"NGA","High"
"115",578,0.000281966620207186,"NOR","Low"
"116",586,0.00712972516328136,"PAK","High"
"117",591,0.000303458739381313,"PAN","Low"
"118",598,0.000405983592443704,"PNG","Medium"
"119",600,0.00056332592112085,"PRY","Medium"
"120",604,0.00200494466386658,"PER","High"
"121",608,0.00301120072629146,"PHL","High"
"122",616,0.00250158479138918,"POL","High"
"123",620,0.00054961707246548,"PRT","Medium"
"124",624,0.000179327224032022,"GNB","Low"
"125",626,4.19068965129554e-05,"TLS","Low"
"126",630,0.000249660632107407,"PRI","Low"
"127",634,4.92239087179769e-05,"QAT","Low"
"128",642,0.00158146472313092,"ROU","High"
"129",643,0.0111320694180612,"RUS","High"
"130",646,0.0010401212493889,"RWA","Medium"
"131",682,0.00154927402665805,"SAU","High"
"132",686,0.000514796377501625,"SEN","Medium"
"133",688,0.000644320458377479,"SRB","Medium"
"134",694,0.000346368087775772,"SLE","Medium"
"135",703,0.000317655169055797,"SVK","Medium"
"136",704,0.00348205227601284,"VNM","High"
"137",705,0.000147584971273318,"SVN","Low"
"138",706,0.000592683221555035,"SOM","Medium"
"139",710,0.00407222514587247,"ZAF","High"
"140",716,0.00138483890896168,"ZWE","Medium"
"141",724,0.00214361394955631,"ESP","High"
"142",728,0.00078024599541493,"SSD","Medium"
"143",729,0.00265911585303513,"SDN","High"
"144",732,3.64064861457791e-06,"ESH","Low"
"145",740,6.32125261574856e-05,"SUR","Low"
"146",748,8.25061579234898e-05,"SWZ","Low"
"147",752,0.000488810958721331,"SWE","Medium"
"148",756,0.000789725349022774,"CHE","Medium"
"149",760,0.00130572741369406,"SYR","Medium"
"150",762,0.000533506435090203,"TJK","Medium"
"151",764,0.00477998555165016,"THA","High"
"152",768,0.000533736787474481,"TGO","Medium"
"153",780,0.000128824685816653,"TTO","Low"
"154",784,0.000144791205300976,"ARE","Low"
"155",788,0.000729560792706252,"TUN","Medium"
"156",792,0.00421824067598209,"TUR","High"
"157",795,0.000385277631465897,"TKM","Medium"
"158",800,0.00225134190100107,"UGA","High"
"159",804,0.00323503256822733,"UKR","High"
"160",807,0.000169064463989343,"MKD","Low"
"161",818,0.00443894484242513,"EGY","High"
"162",826,0.00339753275994781,"GBR","High"
"163",834,0.00355431820150898,"TZA","High"
"164",840,0.0192131070246068,"USA","High"
"165",854,0.000937489376156009,"BFA","Medium"
"166",858,0.000301540233976993,"URY","Low"
"167",860,0.0015924478633309,"UZB","High"
"168",862,0.00214027695528074,"VEN","High"
"169",887,0.00144584611965115,"YEM","High"
"170",894,0.00113561156786091,"ZMB","Medium"
